clip,src_take,src_start_s,speaker,room,dist,label,peak,rms,review
sp01_noise_1m_take_01_c01.wav,sp01_noise_1m/take_01.wav,0,sp01,noise,1m,silence,27842,12520,human
sp01_noise_1m_take_01_c02.wav,sp01_noise_1m/take_01.wav,1.55,sp01,noise,1m,wake,32492,10638,human
sp01_noise_1m_take_01_c03.wav,sp01_noise_1m/take_01.wav,2.5,sp01,noise,1m,silence,15832,5961,human
sp01_noise_1m_take_01_c04.wav,sp01_noise_1m/take_01.wav,4.85,sp01,noise,1m,silence,32767,14257,human
sp01_noise_1m_take_01_c05.wav,sp01_noise_1m/take_01.wav,5.94,sp01,noise,1m,wake,32767,16930,human
sp01_noise_1m_take_01_c06.wav,sp01_noise_1m/take_01.wav,7.95,sp01,noise,1m,wake,23130,7113,human
sp01_noise_1m_take_01_c07.wav,sp01_noise_1m/take_01.wav,9.44,sp01,noise,1m,silence,32768,14177,human
sp01_noise_1m_take_01_c08.wav,sp01_noise_1m/take_01.wav,11.4,sp01,noise,1m,wake,26010,6987,human
sp01_noise_1m_take_01_c09.wav,sp01_noise_1m/take_01.wav,12.46,sp01,noise,1m,silence,32767,15494,human
sp01_noise_1m_take_01_c10.wav,sp01_noise_1m/take_01.wav,15.65,sp01,noise,1m,wake,24744,8440,human
sp01_noise_1m_take_01_c11.wav,sp01_noise_1m/take_01.wav,16.86,sp01,noise,1m,silence,27794,8032,human
sp01_noise_1m_take_01_c12.wav,sp01_noise_1m/take_01.wav,18.47,sp01,noise,1m,wake,27863,12226,human
sp01_noise_1m_take_01_c13.wav,sp01_noise_1m/take_01.wav,20.01,sp01,noise,1m,silence,32767,12955,human
sp01_noise_1m_take_01_c14.wav,sp01_noise_1m/take_01.wav,21.04,sp01,noise,1m,wake,32767,9624,human
sp01_noise_1m_take_01_c15.wav,sp01_noise_1m/take_01.wav,23.65,sp01,noise,1m,wake,30491,10782,human
sp01_noise_1m_take_01_c16.wav,sp01_noise_1m/take_01.wav,25.27,sp01,noise,1m,silence,21193,7033,human
sp01_noise_1m_take_01_c17.wav,sp01_noise_1m/take_01.wav,27.12,sp01,noise,1m,wake,32768,18906,human
sp01_noise_1m_take_01_c18.wav,sp01_noise_1m/take_01.wav,29.0,sp01,noise,1m,silence,32768,15398,human
sp01_noise_1m_take_01_sil1.wav,sp01_noise_1m/take_01.wav,14.5,sp01,noise,1m,silence,16031,6719.9,auto-sil-loose
sp01_noise_1m_take_01_sil2.wav,sp01_noise_1m/take_01.wav,22.5,sp01,noise,1m,silence,18071,5524.2,auto-sil-loose
sp01_noise_1m_take_01_sil3.wav,sp01_noise_1m/take_01.wav,14.0,sp01,noise,1m,silence,25581,9038.3,auto-sil
sp01_noise_1m_take_02_c01.wav,sp01_noise_1m/take_02.wav,0,sp01,noise,1m,silence,28854,10862,human
sp01_noise_1m_take_02_c02.wav,sp01_noise_1m/take_02.wav,3.82,sp01,noise,1m,wake,32768,13152,human
sp01_noise_1m_take_02_c03.wav,sp01_noise_1m/take_02.wav,5.43,sp01,noise,1m,silence,32768,20181,human
sp01_noise_1m_take_02_c04.wav,sp01_noise_1m/take_02.wav,6.84,sp01,noise,1m,wake,32767,9866,human
sp01_noise_1m_take_02_c05.wav,sp01_noise_1m/take_02.wav,7.9,sp01,noise,1m,silence,28038,9449,human
sp01_noise_1m_take_02_c06.wav,sp01_noise_1m/take_02.wav,11.81,sp01,noise,1m,silence,32768,20475,human
sp01_noise_1m_take_02_c07.wav,sp01_noise_1m/take_02.wav,12.93,sp01,noise,1m,wake,25708,9268,human
sp01_noise_1m_take_02_c08.wav,sp01_noise_1m/take_02.wav,17.28,sp01,noise,1m,silence,28557,10212,human
sp01_noise_1m_take_02_c09.wav,sp01_noise_1m/take_02.wav,18.62,sp01,noise,1m,wake,30607,11704,human
sp01_noise_1m_take_02_c10.wav,sp01_noise_1m/take_02.wav,20.9,sp01,noise,1m,wake,32768,17367,human
sp01_noise_1m_take_02_c11.wav,sp01_noise_1m/take_02.wav,23.18,sp01,noise,1m,wake,32768,21028,human
sp01_noise_1m_take_02_c12.wav,sp01_noise_1m/take_02.wav,24.59,sp01,noise,1m,silence,32768,18700,human
